Semaine,Value
2023-10-29,56
2023-10-22,54
2023-10-15,89
2023-10-08,56
2023-10-01,58
2023-09-24,53
2023-09-17,48
2023-09-10,51
2023-09-03,66
2023-08-27,33
2023-08-20,63
2023-08-13,73
2023-08-06,69
2023-07-30,51
2023-07-23,60
2023-07-16,61
2023-07-09,80
2023-07-02,57
2023-06-25,59
2023-06-18,53
2023-06-11,73
2023-06-04,60
2023-05-28,74
2023-05-21,49
2023-05-14,51
2023-05-07,37
2023-04-30,90
2023-04-23,78
2023-04-16,81
2023-04-09,67
2023-04-02,83
2023-03-26,60
2023-03-19,63
2023-03-12,66
2023-03-05,67
2023-02-26,71
2023-02-19,97
2023-02-12,57
2023-02-05,72
2023-01-29,92
2023-01-22,72
2023-01-15,45
2023-01-08,100
2023-01-01,55
2022-12-25,47
2022-12-18,70
2022-12-11,63
2022-12-04,60
2022-11-27,50
2022-11-20,62
2022-11-13,58
