Semaine,Value
2023-10-29,24
2023-10-22,10
2023-10-15,16
2023-10-08,23
2023-10-01,25
2023-09-24,25
2023-09-17,33
2023-09-10,10
2023-09-03,19
2023-08-27,13
2023-08-20,13
2023-08-13,9
2023-08-06,14
2023-07-30,8
2023-07-23,10
2023-07-16,12
2023-07-09,13
2023-07-02,12
2023-06-25,12
2023-06-18,13
2023-06-11,13
2023-06-04,10
2023-05-28,21
2023-05-21,14
2023-05-14,12
2023-05-07,10
2023-04-30,11
2023-04-23,10
2023-04-16,8
2023-04-09,13
2023-04-02,7
2023-03-26,14
2023-03-19,9
2023-03-12,11
2023-03-05,9
2023-02-26,24
2023-02-19,25
2023-02-12,17
2023-02-05,24
2023-01-29,24
2023-01-22,22
2023-01-15,28
2023-01-08,43
2023-01-01,89
2022-12-25,68
2022-12-18,100
2022-12-11,21
2022-12-04,18
2022-11-27,15
2022-11-20,17
2022-11-13,17
