Semaine,Value
2023-10-29,68
2023-10-22,41
2023-10-15,38
2023-10-08,53
2023-10-01,72
2023-09-24,53
2023-09-17,48
2023-09-10,33
2023-09-03,57
2023-08-27,63
2023-08-20,37
2023-08-13,53
2023-08-06,62
2023-07-30,0
2023-07-23,64
2023-07-16,76
2023-07-09,26
2023-07-02,90
2023-06-25,60
2023-06-18,0
2023-06-11,46
2023-06-04,29
2023-05-28,51
2023-05-21,79
2023-05-14,100
2023-05-07,93
2023-04-30,44
2023-04-23,0
2023-04-16,25
2023-04-09,27
2023-04-02,46
2023-03-26,66
2023-03-19,40
2023-03-12,44
2023-03-05,26
2023-02-26,30
2023-02-19,80
2023-02-12,49
2023-02-05,69
2023-01-29,42
2023-01-22,31
2023-01-15,37
2023-01-08,81
2023-01-01,40
2022-12-25,41
2022-12-18,24
2022-12-11,30
2022-12-04,0
2022-11-27,33
2022-11-20,21
2022-11-13,0
2022-11-06,24
