Semaine,Value
2023-10-22,9
2023-10-15,9
2023-10-08,9
2023-10-01,8
2023-09-24,7
2023-09-17,10
2023-09-10,8
2023-09-03,3
2023-08-27,7
2023-08-20,9
2023-08-13,3
2023-08-06,9
2023-07-30,8
2023-07-23,12
2023-07-16,7
2023-07-09,6
2023-07-02,9
2023-06-25,10
2023-06-18,6
2023-06-11,17
2023-06-04,13
2023-05-28,13
2023-05-21,100
2023-05-14,7
2023-05-07,14
2023-04-30,17
2023-04-23,16
2023-04-16,19
2023-04-09,12
2023-04-02,9
2023-03-26,7
2023-03-19,18
2023-03-12,94
2023-03-05,9
2023-02-26,9
2023-02-19,10
2023-02-12,14
2023-02-05,7
2023-01-29,8
2023-01-22,10
2023-01-15,12
2023-01-08,9
2023-01-01,12
2022-12-25,9
2022-12-18,11
2022-12-11,7
2022-12-04,6
2022-11-27,5
2022-11-20,11
2022-11-13,9
2022-11-06,28
