Semaine,Value
2023-11-05,53
2023-10-29,26
2023-10-22,31
2023-10-15,26
2023-10-08,36
2023-10-01,39
2023-09-24,41
2023-09-17,44
2023-09-10,55
2023-09-03,78
2023-08-27,30
2023-08-20,31
2023-08-13,29
2023-08-06,34
2023-07-30,31
2023-07-23,33
2023-07-16,32
2023-07-09,31
2023-07-02,35
2023-06-25,32
2023-06-18,30
2023-06-11,46
2023-06-04,59
2023-05-28,100
2023-05-21,69
2023-05-14,60
2023-05-07,29
2023-04-30,27
2023-04-23,36
2023-04-16,24
2023-04-09,20
2023-04-02,17
2023-03-26,18
2023-03-19,25
2023-03-12,45
2023-03-05,21
2023-02-26,25
2023-02-19,29
2023-02-12,35
2023-02-05,49
2023-01-29,23
2023-01-22,23
2023-01-15,20
2023-01-08,19
2023-01-01,25
2022-12-25,23
2022-12-18,21
2022-12-11,20
2022-12-04,23
2022-11-27,21
2022-11-20,29
2022-11-13,19
