Semaine,Value
2023-11-05,36
2023-10-29,100
2023-10-22,18
2023-10-15,20
2023-10-08,23
2023-10-01,14
2023-09-24,20
2023-09-17,17
2023-09-10,20
2023-09-03,17
2023-08-27,18
2023-08-20,28
2023-08-13,35
2023-08-06,25
2023-07-30,15
2023-07-23,14
2023-07-16,15
2023-07-09,15
2023-07-02,22
2023-06-25,17
2023-06-18,15
2023-06-11,19
2023-06-04,21
2023-05-28,17
2023-05-21,13
2023-05-14,14
2023-05-07,13
2023-04-30,14
2023-04-23,20
2023-04-16,18
2023-04-09,25
2023-04-02,46
2023-03-26,45
2023-03-19,27
2023-03-12,19
2023-03-05,15
2023-02-26,17
2023-02-19,16
2023-02-12,20
2023-02-05,19
2023-01-29,21
2023-01-22,19
2023-01-15,16
2023-01-08,18
2023-01-01,25
2022-12-25,22
2022-12-18,15
2022-12-11,15
2022-12-04,15
2022-11-27,15
2022-11-20,22
2022-11-13,67
