Semaine,Value
2023-10-29,29
2023-10-22,77
2023-10-15,39
2023-10-08,64
2023-10-01,32
2023-09-24,48
2023-09-17,34
2023-09-10,65
2023-09-03,48
2023-08-27,41
2023-08-20,67
2023-08-13,71
2023-08-06,60
2023-07-30,87
2023-07-23,72
2023-07-16,76
2023-07-09,48
2023-07-02,45
2023-06-25,39
2023-06-18,46
2023-06-11,40
2023-06-04,17
2023-05-28,50
2023-05-21,15
2023-05-14,27
2023-05-07,46
2023-04-30,36
2023-04-23,49
2023-04-16,37
2023-04-09,33
2023-04-02,37
2023-03-26,35
2023-03-19,35
2023-03-12,24
2023-03-05,39
2023-02-26,55
2023-02-19,69
2023-02-12,66
2023-02-05,54
2023-01-29,47
2023-01-22,72
2023-01-15,28
2023-01-08,0
2023-01-01,22
2022-12-25,13
2022-12-18,45
2022-12-11,20
2022-12-04,100
2022-11-27,25
2022-11-20,44
2022-11-13,30
