Semaine,Value
2023-11-05,57
2023-10-29,65
2023-10-22,51
2023-10-15,53
2023-10-08,85
2023-10-01,54
2023-09-24,59
2023-09-17,41
2023-09-10,64
2023-09-03,52
2023-08-27,47
2023-08-20,52
2023-08-13,56
2023-08-06,58
2023-07-30,53
2023-07-23,69
2023-07-16,47
2023-07-09,50
2023-07-02,69
2023-06-25,71
2023-06-18,60
2023-06-11,72
2023-06-04,56
2023-05-28,54
2023-05-21,50
2023-05-14,59
2023-05-07,43
2023-04-30,56
2023-04-23,100
2023-04-16,44
2023-04-09,50
2023-04-02,46
2023-03-26,48
2023-03-19,60
2023-03-12,52
2023-03-05,60
2023-02-26,65
2023-02-19,65
2023-02-12,58
2023-02-05,79
2023-01-29,64
2023-01-22,62
2023-01-15,61
2023-01-08,67
2023-01-01,64
2022-12-25,72
2022-12-18,76
2022-12-11,53
2022-12-04,57
2022-11-27,61
2022-11-20,87
2022-11-13,63
