Semaine,Value
2023-11-05,31
2023-10-29,20
2023-10-22,44
2023-10-15,38
2023-10-08,23
2023-10-01,25
2023-09-24,21
2023-09-17,19
2023-09-10,19
2023-09-03,22
2023-08-27,24
2023-08-20,20
2023-08-13,17
2023-08-06,19
2023-07-30,19
2023-07-23,19
2023-07-16,20
2023-07-09,23
2023-07-02,26
2023-06-25,27
2023-06-18,30
2023-06-11,30
2023-06-04,35
2023-05-28,49
2023-05-21,93
2023-05-14,73
2023-05-07,68
2023-04-30,100
2023-04-23,67
2023-04-16,33
2023-04-09,19
2023-04-02,22
2023-03-26,14
2023-03-19,13
2023-03-12,18
2023-03-05,13
2023-02-26,14
2023-02-19,18
2023-02-12,15
2023-02-05,15
2023-01-29,15
2023-01-22,16
2023-01-15,14
2023-01-08,11
2023-01-01,13
2022-12-25,14
2022-12-18,13
2022-12-11,12
2022-12-04,10
2022-11-27,11
2022-11-20,12
2022-11-13,10
