Semaine,Value
2023-10-29,23
2023-10-22,36
2023-10-15,46
2023-10-08,31
2023-10-01,79
2023-09-24,68
2023-09-17,34
2023-09-10,57
2023-09-03,85
2023-08-27,63
2023-08-20,41
2023-08-13,35
2023-08-06,28
2023-07-30,35
2023-07-23,23
2023-07-16,58
2023-07-09,24
2023-07-02,34
2023-06-25,23
2023-06-18,26
2023-06-11,40
2023-06-04,16
2023-05-28,19
2023-05-21,24
2023-05-14,20
2023-05-07,30
2023-04-30,24
2023-04-23,39
2023-04-16,31
2023-04-09,35
2023-04-02,36
2023-03-26,38
2023-03-19,46
2023-03-12,32
2023-03-05,34
2023-02-26,42
2023-02-19,6
2023-02-12,57
2023-02-05,50
2023-01-29,53
2023-01-22,50
2023-01-15,19
2023-01-08,31
2023-01-01,34
2022-12-25,37
2022-12-18,38
2022-12-11,38
2022-12-04,34
2022-11-27,81
2022-11-20,89
2022-11-13,100
