Semaine,Value
2023-11-05,16
2023-10-29,20
2023-10-22,60
2023-10-15,28
2023-10-08,18
2023-10-01,21
2023-09-24,15
2023-09-17,18
2023-09-10,37
2023-09-03,100
2023-08-27,13
2023-08-20,11
2023-08-13,13
2023-08-06,13
2023-07-30,12
2023-07-23,12
2023-07-16,14
2023-07-09,13
2023-07-02,15
2023-06-25,13
2023-06-18,14
2023-06-11,15
2023-06-04,14
2023-05-28,17
2023-05-21,16
2023-05-14,17
2023-05-07,15
2023-04-30,23
2023-04-23,28
2023-04-16,20
2023-04-09,20
2023-04-02,21
2023-03-26,26
2023-03-19,44
2023-03-12,38
2023-03-05,51
2023-02-26,17
2023-02-19,17
2023-02-12,23
2023-02-05,19
2023-01-29,19
2023-01-22,21
2023-01-15,19
2023-01-08,20
2023-01-01,19
2022-12-25,19
2022-12-18,22
2022-12-11,24
2022-12-04,21
2022-11-27,19
2022-11-20,28
2022-11-13,92
