Semaine,Value
2023-10-22,16
2023-10-15,15
2023-10-08,16
2023-10-01,22
2023-09-24,32
2023-09-17,12
2023-09-10,15
2023-09-03,17
2023-08-27,12
2023-08-20,18
2023-08-13,21
2023-08-06,15
2023-07-30,27
2023-07-23,23
2023-07-16,19
2023-07-09,21
2023-07-02,18
2023-06-25,29
2023-06-18,40
2023-06-11,20
2023-06-04,29
2023-05-28,47
2023-05-21,0
2023-05-14,30
2023-05-07,14
2023-04-30,11
2023-04-23,6
2023-04-16,14
2023-04-09,13
2023-04-02,16
2023-03-26,15
2023-03-19,27
2023-03-12,16
2023-03-05,5
2023-02-26,15
2023-02-19,14
2023-02-12,19
2023-02-05,15
2023-01-29,39
2023-01-22,25
2023-01-15,100
2023-01-08,45
2023-01-01,46
2022-12-25,54
2022-12-18,65
2022-12-11,43
2022-12-04,20
2022-11-27,12
2022-11-20,22
2022-11-13,7
2022-11-06,8
