Semaine,Value
2023-11-05,18
2023-10-29,36
2023-10-22,13
2023-10-15,12
2023-10-08,8
2023-10-01,11
2023-09-24,5
2023-09-17,11
2023-09-10,10
2023-09-03,8
2023-08-27,13
2023-08-20,7
2023-08-13,7
2023-08-06,8
2023-07-30,10
2023-07-23,6
2023-07-16,6
2023-07-09,13
2023-07-02,7
2023-06-25,10
2023-06-18,6
2023-06-11,25
2023-06-04,14
2023-05-28,7
2023-05-21,34
2023-05-14,27
2023-05-07,100
2023-04-30,56
2023-04-23,11
2023-04-16,34
2023-04-09,25
2023-04-02,29
2023-03-26,45
2023-03-19,27
2023-03-12,38
2023-03-05,68
2023-02-26,30
2023-02-19,30
2023-02-12,25
2023-02-05,22
2023-01-29,59
2023-01-22,33
2023-01-15,41
2023-01-08,21
2023-01-01,20
2022-12-25,57
2022-12-18,35
2022-12-11,24
2022-12-04,19
2022-11-27,21
2022-11-20,16
2022-11-13,30
