Semaine,Value
2023-10-29,38
2023-10-22,45
2023-10-15,47
2023-10-08,50
2023-10-01,48
2023-09-24,71
2023-09-17,47
2023-09-10,43
2023-09-03,41
2023-08-27,61
2023-08-20,53
2023-08-13,48
2023-08-06,36
2023-07-30,47
2023-07-23,23
2023-07-16,50
2023-07-09,35
2023-07-02,50
2023-06-25,56
2023-06-18,64
2023-06-11,64
2023-06-04,58
2023-05-28,52
2023-05-21,51
2023-05-14,63
2023-05-07,70
2023-04-30,54
2023-04-23,59
2023-04-16,70
2023-04-09,62
2023-04-02,42
2023-03-26,100
2023-03-19,51
2023-03-12,54
2023-03-05,67
2023-02-26,51
2023-02-19,61
2023-02-12,57
2023-02-05,48
2023-01-29,48
2023-01-22,53
2023-01-15,56
2023-01-08,56
2023-01-01,38
2022-12-25,31
2022-12-18,45
2022-12-11,47
2022-12-04,53
2022-11-27,61
2022-11-20,52
2022-11-13,70
2022-11-06,59
