Semaine,Value
2023-10-29,6
2023-10-22,9
2023-10-15,10
2023-10-08,9
2023-10-01,9
2023-09-24,13
2023-09-17,11
2023-09-10,12
2023-09-03,9
2023-08-27,11
2023-08-20,9
2023-08-13,10
2023-08-06,8
2023-07-30,8
2023-07-23,21
2023-07-16,11
2023-07-09,9
2023-07-02,9
2023-06-25,11
2023-06-18,11
2023-06-11,14
2023-06-04,8
2023-05-28,11
2023-05-21,12
2023-05-14,13
2023-05-07,16
2023-04-30,10
2023-04-23,13
2023-04-16,16
2023-04-09,22
2023-04-02,23
2023-03-26,14
2023-03-19,28
2023-03-12,100
2023-03-05,23
2023-02-26,25
2023-02-19,10
2023-02-12,12
2023-02-05,17
2023-01-29,25
2023-01-22,13
2023-01-15,11
2023-01-08,13
2023-01-01,17
2022-12-25,23
2022-12-18,40
2022-12-11,29
2022-12-04,51
2022-11-27,23
2022-11-20,29
2022-11-13,25
2022-11-06,22
