Semaine,Value
2023-11-05,34
2023-10-29,31
2023-10-22,34
2023-10-15,35
2023-10-08,38
2023-10-01,35
2023-09-24,49
2023-09-17,54
2023-09-10,69
2023-09-03,47
2023-08-27,51
2023-08-20,97
2023-08-13,100
2023-08-06,31
2023-07-30,32
2023-07-23,30
2023-07-16,44
2023-07-09,53
2023-07-02,38
2023-06-25,30
2023-06-18,24
2023-06-11,32
2023-06-04,28
2023-05-28,27
2023-05-21,29
2023-05-14,27
2023-05-07,34
2023-04-30,52
2023-04-23,31
2023-04-16,28
2023-04-09,27
2023-04-02,27
2023-03-26,31
2023-03-19,26
2023-03-12,24
2023-03-05,31
2023-02-26,25
2023-02-19,33
2023-02-12,28
2023-02-05,34
2023-01-29,40
2023-01-22,36
2023-01-15,44
2023-01-08,32
2023-01-01,34
2022-12-25,55
2022-12-18,66
2022-12-11,35
2022-12-04,38
2022-11-27,53
2022-11-20,37
2022-11-13,44
