Semaine,Value
2023-10-29,38
2023-10-22,59
2023-10-15,52
2023-10-08,58
2023-10-01,56
2023-09-24,77
2023-09-17,73
2023-09-10,58
2023-09-03,0
2023-08-27,63
2023-08-20,36
2023-08-13,45
2023-08-06,36
2023-07-30,77
2023-07-23,41
2023-07-16,17
2023-07-09,73
2023-07-02,41
2023-06-25,41
2023-06-18,23
2023-06-11,30
2023-06-04,73
2023-05-28,80
2023-05-21,51
2023-05-14,46
2023-05-07,48
2023-04-30,60
2023-04-23,73
2023-04-16,36
2023-04-09,56
2023-04-02,38
2023-03-26,70
2023-03-19,39
2023-03-12,64
2023-03-05,78
2023-02-26,43
2023-02-19,39
2023-02-12,59
2023-02-05,31
2023-01-29,66
2023-01-22,56
2023-01-15,73
2023-01-08,78
2023-01-01,57
2022-12-25,54
2022-12-18,89
2022-12-11,100
2022-12-04,39
2022-11-27,49
2022-11-20,27
2022-11-13,45
