Semaine,Value
2023-10-22,65
2023-10-15,100
2023-10-08,58
2023-10-01,30
2023-09-24,34
2023-09-17,30
2023-09-10,33
2023-09-03,47
2023-08-27,32
2023-08-20,29
2023-08-13,35
2023-08-06,31
2023-07-30,29
2023-07-23,54
2023-07-16,32
2023-07-09,33
2023-07-02,32
2023-06-25,28
2023-06-18,28
2023-06-11,29
2023-06-04,25
2023-05-28,32
2023-05-21,37
2023-05-14,27
2023-05-07,29
2023-04-30,40
2023-04-23,24
2023-04-16,26
2023-04-09,24
2023-04-02,22
2023-03-26,29
2023-03-19,32
2023-03-12,29
2023-03-05,25
2023-02-26,29
2023-02-19,33
2023-02-12,27
2023-02-05,27
2023-01-29,28
2023-01-22,43
2023-01-15,33
2023-01-08,34
2023-01-01,29
2022-12-25,35
2022-12-18,58
2022-12-11,28
2022-12-04,27
2022-11-27,27
2022-11-20,33
2022-11-13,26
2022-11-06,27
