Semaine,Value
2023-11-05,21
2023-10-29,23
2023-10-22,23
2023-10-15,31
2023-10-08,27
2023-10-01,32
2023-09-24,35
2023-09-17,21
2023-09-10,20
2023-09-03,29
2023-08-27,28
2023-08-20,18
2023-08-13,32
2023-08-06,30
2023-07-30,43
2023-07-23,38
2023-07-16,35
2023-07-09,41
2023-07-02,51
2023-06-25,23
2023-06-18,20
2023-06-11,16
2023-06-04,22
2023-05-28,22
2023-05-21,20
2023-05-14,17
2023-05-07,30
2023-04-30,27
2023-04-23,17
2023-04-16,26
2023-04-09,31
2023-04-02,41
2023-03-26,100
2023-03-19,62
2023-03-12,29
2023-03-05,54
2023-02-26,32
2023-02-19,34
2023-02-12,20
2023-02-05,20
2023-01-29,21
2023-01-22,14
2023-01-15,7
2023-01-08,16
2023-01-01,16
2022-12-25,16
2022-12-18,21
2022-12-11,24
2022-12-04,20
2022-11-27,18
2022-11-20,27
2022-11-13,29
