Semaine,Value
2023-11-05,21
2023-10-29,100
2023-10-22,25
2023-10-15,11
2023-10-08,23
2023-10-01,15
2023-09-24,19
2023-09-17,16
2023-09-10,34
2023-09-03,11
2023-08-27,11
2023-08-20,10
2023-08-13,10
2023-08-06,13
2023-07-30,16
2023-07-23,21
2023-07-16,34
2023-07-09,22
2023-07-02,1
2023-06-25,1
2023-06-18,1
2023-06-11,2
2023-06-04,2
2023-05-28,1
2023-05-21,1
2023-05-14,2
2023-05-07,1
2023-04-30,2
2023-04-23,4
2023-04-16,2
2023-04-09,2
2023-04-02,3
2023-03-26,4
2023-03-19,3
2023-03-12,8
2023-03-05,4
2023-02-26,3
2023-02-19,3
2023-02-12,3
2023-02-05,6
2023-01-29,4
2023-01-22,5
2023-01-15,26
2023-01-08,10
2023-01-01,10
2022-12-25,10
2022-12-18,17
2022-12-11,14
2022-12-04,8
2022-11-27,5
2022-11-20,29
