Semaine,Value
2023-11-05,21
2023-10-29,18
2023-10-22,13
2023-10-15,15
2023-10-08,13
2023-10-01,13
2023-09-24,14
2023-09-17,15
2023-09-10,16
2023-09-03,14
2023-08-27,21
2023-08-20,16
2023-08-13,19
2023-08-06,28
2023-07-30,23
2023-07-23,30
2023-07-16,41
2023-07-09,36
2023-07-02,47
2023-06-25,100
2023-06-18,29
2023-06-11,39
2023-06-04,36
2023-05-28,25
2023-05-21,22
2023-05-14,15
2023-05-07,15
2023-04-30,13
2023-04-23,11
2023-04-16,13
2023-04-09,14
2023-04-02,17
2023-03-26,13
2023-03-19,13
2023-03-12,13
2023-03-05,11
2023-02-26,12
2023-02-19,14
2023-02-12,12
2023-02-05,15
2023-01-29,14
2023-01-22,18
2023-01-15,10
2023-01-08,13
2023-01-01,15
2022-12-25,10
2022-12-18,12
2022-12-11,13
2022-12-04,13
2022-11-27,12
2022-11-20,10
2022-11-13,13
