Semaine,Value
2023-11-05,26
2023-10-29,19
2023-10-22,28
2023-10-15,25
2023-10-08,39
2023-10-01,68
2023-09-24,43
2023-09-17,15
2023-09-10,25
2023-09-03,43
2023-08-27,59
2023-08-20,30
2023-08-13,48
2023-08-06,100
2023-07-30,85
2023-07-23,45
2023-07-16,28
2023-07-09,20
2023-07-02,22
2023-06-25,14
2023-06-18,9
2023-06-11,12
2023-06-04,10
2023-05-28,11
2023-05-21,7
2023-05-14,34
2023-05-07,30
2023-04-30,24
2023-04-23,12
2023-04-16,22
2023-04-09,32
2023-04-02,20
2023-03-26,10
2023-03-19,16
2023-03-12,11
2023-03-05,6
2023-02-26,5
2023-02-19,6
2023-02-12,13
2023-02-05,4
2023-01-29,7
2023-01-22,15
2023-01-15,11
2023-01-08,10
2023-01-01,8
2022-12-25,15
2022-12-18,10
2022-12-11,8
2022-12-04,3
2022-11-27,9
2022-11-20,3
2022-11-13,7
