Semaine,Value
2023-11-05,0
2023-10-29,29
2023-10-22,0
2023-10-15,0
2023-10-08,22
2023-10-01,38
2023-09-24,31
2023-09-17,0
2023-09-10,36
2023-09-03,19
2023-08-27,0
2023-08-20,75
2023-08-13,49
2023-08-06,20
2023-07-30,0
2023-07-23,0
2023-07-16,47
2023-07-09,0
2023-07-02,63
2023-06-25,20
2023-06-18,22
2023-06-11,30
2023-06-04,17
2023-05-28,57
2023-05-21,18
2023-05-14,34
2023-05-07,0
2023-04-30,0
2023-04-23,100
2023-04-16,0
2023-04-09,0
2023-04-02,29
2023-03-26,0
2023-03-19,0
2023-03-12,45
2023-03-05,0
2023-02-26,19
2023-02-19,0
2023-02-12,26
2023-02-05,30
2023-01-29,19
2023-01-22,0
2023-01-15,0
2023-01-08,0
2023-01-01,0
2022-12-25,58
2022-12-18,0
2022-12-11,39
2022-12-04,19
2022-11-27,23
2022-11-20,0
2022-11-13,45
