Semaine,Value
2023-11-05,47
2023-10-29,17
2023-10-22,19
2023-10-15,20
2023-10-08,18
2023-10-01,27
2023-09-24,25
2023-09-17,28
2023-09-10,60
2023-09-03,100
2023-08-27,53
2023-08-20,35
2023-08-13,31
2023-08-06,38
2023-07-30,22
2023-07-23,39
2023-07-16,50
2023-07-09,59
2023-07-02,43
2023-06-25,39
2023-06-18,36
2023-06-11,29
2023-06-04,27
2023-05-28,67
2023-05-21,27
2023-05-14,28
2023-05-07,29
2023-04-30,21
2023-04-23,24
2023-04-16,25
2023-04-09,23
2023-04-02,22
2023-03-26,36
2023-03-19,17
2023-03-12,26
2023-03-05,28
2023-02-26,24
2023-02-19,25
2023-02-12,57
2023-02-05,32
2023-01-29,35
2023-01-22,52
2023-01-15,76
2023-01-08,41
2023-01-01,23
2022-12-25,38
2022-12-18,20
2022-12-11,37
2022-12-04,15
2022-11-27,17
2022-11-20,16
2022-11-13,17
