Semaine,Value
2023-11-05,80
2023-10-29,33
2023-10-22,34
2023-10-15,31
2023-10-08,34
2023-10-01,26
2023-09-24,33
2023-09-17,26
2023-09-10,26
2023-09-03,0
2023-08-27,53
2023-08-20,100
2023-08-13,0
2023-08-06,23
2023-07-30,86
2023-07-23,52
2023-07-16,25
2023-07-09,47
2023-07-02,32
2023-06-25,0
2023-06-18,17
2023-06-11,39
2023-06-04,30
2023-05-28,36
2023-05-21,32
2023-05-14,71
2023-05-07,18
2023-04-30,0
2023-04-23,22
2023-04-16,37
2023-04-09,0
2023-04-02,19
2023-03-26,33
2023-03-19,23
2023-03-12,24
2023-03-05,30
2023-02-26,0
2023-02-19,0
2023-02-12,16
2023-02-05,22
2023-01-29,0
2023-01-22,26
2023-01-15,46
2023-01-08,0
2023-01-01,13
2022-12-25,29
2022-12-18,43
2022-12-11,35
2022-12-04,24
2022-11-27,0
2022-11-20,17
2022-11-13,13
