Semaine,Value
2023-11-05,0
2023-10-29,5
2023-10-22,7
2023-10-15,6
2023-10-08,8
2023-10-01,7
2023-09-24,8
2023-09-17,4
2023-09-10,8
2023-09-03,8
2023-08-27,9
2023-08-20,16
2023-08-13,8
2023-08-06,4
2023-07-30,8
2023-07-23,6
2023-07-16,8
2023-07-09,8
2023-07-02,6
2023-06-25,7
2023-06-18,3
2023-06-11,12
2023-06-04,9
2023-05-28,6
2023-05-21,9
2023-05-14,7
2023-05-07,7
2023-04-30,9
2023-04-23,3
2023-04-16,5
2023-04-09,7
2023-04-02,3
2023-03-26,9
2023-03-19,11
2023-03-12,7
2023-03-05,11
2023-02-26,14
2023-02-19,19
2023-02-12,42
2023-02-05,100
2023-01-29,7
2023-01-22,10
2023-01-15,10
2023-01-08,18
2023-01-01,17
2022-12-25,6
2022-12-18,7
2022-12-11,8
2022-12-04,5
2022-11-27,6
2022-11-20,9
2022-11-13,8
