Semaine,Value
2023-10-22,43
2023-10-15,22
2023-10-08,100
2023-10-01,26
2023-09-24,43
2023-09-17,46
2023-09-10,29
2023-09-03,42
2023-08-27,16
2023-08-20,57
2023-08-13,42
2023-08-06,51
2023-07-30,0
2023-07-23,39
2023-07-16,26
2023-07-09,20
2023-07-02,65
2023-06-25,11
2023-06-18,47
2023-06-11,25
2023-06-04,38
2023-05-28,0
2023-05-21,29
2023-05-14,59
2023-05-07,31
2023-04-30,27
2023-04-23,15
2023-04-16,60
2023-04-09,30
2023-04-02,36
2023-03-26,44
2023-03-19,41
2023-03-12,27
2023-03-05,37
2023-02-26,38
2023-02-19,10
2023-02-12,55
2023-02-05,39
2023-01-29,27
2023-01-22,45
2023-01-15,30
2023-01-08,14
2023-01-01,21
2022-12-25,15
2022-12-18,27
2022-12-11,0
2022-12-04,34
2022-11-27,36
2022-11-20,16
2022-11-13,32
2022-11-06,21
