Semaine,Value
2023-10-22,59
2023-10-15,61
2023-10-08,64
2023-10-01,60
2023-09-24,68
2023-09-17,74
2023-09-10,60
2023-09-03,55
2023-08-27,69
2023-08-20,77
2023-08-13,81
2023-08-06,86
2023-07-30,77
2023-07-23,89
2023-07-16,76
2023-07-09,90
2023-07-02,72
2023-06-25,63
2023-06-18,69
2023-06-11,72
2023-06-04,68
2023-05-28,63
2023-05-21,51
2023-05-14,51
2023-05-07,57
2023-04-30,53
2023-04-23,66
2023-04-16,55
2023-04-09,79
2023-04-02,83
2023-03-26,69
2023-03-19,73
2023-03-12,100
2023-03-05,62
2023-02-26,79
2023-02-19,77
2023-02-12,66
2023-02-05,71
2023-01-29,73
2023-01-22,87
2023-01-15,89
2023-01-08,73
2023-01-01,89
2022-12-25,88
2022-12-18,92
2022-12-11,75
2022-12-04,78
2022-11-27,71
2022-11-20,82
2022-11-13,77
2022-11-06,78
