Semaine,Value
2023-11-05,58
2023-10-29,100
2023-10-22,28
2023-10-15,39
2023-10-08,31
2023-10-01,38
2023-09-24,38
2023-09-17,27
2023-09-10,35
2023-09-03,30
2023-08-27,23
2023-08-20,26
2023-08-13,35
2023-08-06,34
2023-07-30,40
2023-07-23,33
2023-07-16,26
2023-07-09,39
2023-07-02,43
2023-06-25,30
2023-06-18,31
2023-06-11,34
2023-06-04,35
2023-05-28,31
2023-05-21,27
2023-05-14,36
2023-05-07,25
2023-04-30,22
2023-04-23,36
2023-04-16,32
2023-04-09,30
2023-04-02,23
2023-03-26,38
2023-03-19,27
2023-03-12,27
2023-03-05,32
2023-02-26,32
2023-02-19,22
2023-02-12,25
2023-02-05,23
2023-01-29,31
2023-01-22,21
2023-01-15,35
2023-01-08,20
2023-01-01,33
2022-12-25,22
2022-12-18,29
2022-12-11,27
2022-12-04,27
2022-11-27,35
2022-11-20,35
2022-11-13,32
