Semaine,Value
2023-11-05,68
2023-10-29,64
2023-10-22,57
2023-10-15,63
2023-10-08,60
2023-10-01,61
2023-09-24,60
2023-09-17,64
2023-09-10,61
2023-09-03,61
2023-08-27,60
2023-08-20,62
2023-08-13,62
2023-08-06,64
2023-07-30,63
2023-07-23,69
2023-07-16,68
2023-07-09,68
2023-07-02,69
2023-06-25,84
2023-06-18,63
2023-06-11,73
2023-06-04,64
2023-05-28,67
2023-05-21,64
2023-05-14,57
2023-05-07,63
2023-04-30,68
2023-04-23,79
2023-04-16,85
2023-04-09,90
2023-04-02,99
2023-03-26,78
2023-03-19,86
2023-03-12,85
2023-03-05,80
2023-02-26,100
2023-02-19,77
2023-02-12,75
2023-02-05,79
2023-01-29,76
2023-01-22,80
2023-01-15,69
2023-01-08,78
2023-01-01,70
2022-12-25,70
2022-12-18,65
2022-12-11,65
2022-12-04,68
2022-11-27,70
2022-11-20,65
2022-11-13,72
