Semaine,Value
2023-10-29,38
2023-10-22,32
2023-10-15,16
2023-10-08,29
2023-10-01,43
2023-09-24,39
2023-09-17,40
2023-09-10,38
2023-09-03,38
2023-08-27,24
2023-08-20,54
2023-08-13,32
2023-08-06,58
2023-07-30,41
2023-07-23,40
2023-07-16,33
2023-07-09,52
2023-07-02,66
2023-06-25,53
2023-06-18,49
2023-06-11,68
2023-06-04,42
2023-05-28,50
2023-05-21,82
2023-05-14,27
2023-05-07,23
2023-04-30,31
2023-04-23,32
2023-04-16,44
2023-04-09,70
2023-04-02,59
2023-03-26,100
2023-03-19,82
2023-03-12,21
2023-03-05,37
2023-02-26,58
2023-02-19,51
2023-02-12,43
2023-02-05,27
2023-01-29,34
2023-01-22,28
2023-01-15,31
2023-01-08,23
2023-01-01,34
2022-12-25,52
2022-12-18,36
2022-12-11,17
2022-12-04,39
2022-11-27,33
2022-11-20,50
2022-11-13,31
2022-11-06,37
