Semaine,Value
2023-11-05,34
2023-10-29,31
2023-10-22,34
2023-10-15,52
2023-10-08,86
2023-10-01,46
2023-09-24,28
2023-09-17,16
2023-09-10,9
2023-09-03,22
2023-08-27,17
2023-08-20,25
2023-08-13,19
2023-08-06,16
2023-07-30,17
2023-07-23,26
2023-07-16,29
2023-07-09,29
2023-07-02,27
2023-06-25,19
2023-06-18,20
2023-06-11,30
2023-06-04,22
2023-05-28,20
2023-05-21,8
2023-05-14,15
2023-05-07,20
2023-04-30,35
2023-04-23,31
2023-04-16,17
2023-04-09,31
2023-04-02,17
2023-03-26,28
2023-03-19,32
2023-03-12,52
2023-03-05,49
2023-02-26,50
2023-02-19,87
2023-02-12,39
2023-02-05,28
2023-01-29,51
2023-01-22,29
2023-01-15,45
2023-01-08,67
2023-01-01,100
2022-12-25,46
2022-12-18,33
2022-12-11,25
2022-12-04,30
2022-11-27,22
2022-11-20,37
2022-11-13,31
