Semaine,Value
2023-10-29,90
2023-10-22,34
2023-10-15,0
2023-10-08,0
2023-10-01,17
2023-09-24,65
2023-09-17,41
2023-09-10,48
2023-09-03,19
2023-08-27,77
2023-08-20,36
2023-08-13,26
2023-08-06,42
2023-07-30,61
2023-07-23,39
2023-07-16,0
2023-07-09,31
2023-07-02,0
2023-06-25,0
2023-06-18,19
2023-06-11,19
2023-06-04,43
2023-05-28,62
2023-05-21,28
2023-05-14,39
2023-05-07,46
2023-04-30,27
2023-04-23,64
2023-04-16,0
2023-04-09,78
2023-04-02,21
2023-03-26,16
2023-03-19,29
2023-03-12,59
2023-03-05,44
2023-02-26,34
2023-02-19,49
2023-02-12,19
2023-02-05,35
2023-01-29,33
2023-01-22,38
2023-01-15,43
2023-01-08,30
2023-01-01,100
2022-12-25,49
2022-12-18,26
2022-12-11,53
2022-12-04,35
2022-11-27,75
2022-11-20,28
2022-11-13,0
