Semaine,Value
2023-10-29,35
2023-10-22,30
2023-10-15,25
2023-10-08,27
2023-10-01,28
2023-09-24,28
2023-09-17,35
2023-09-10,30
2023-09-03,30
2023-08-27,25
2023-08-20,29
2023-08-13,34
2023-08-06,33
2023-07-30,36
2023-07-23,29
2023-07-16,33
2023-07-09,34
2023-07-02,44
2023-06-25,46
2023-06-18,56
2023-06-11,88
2023-06-04,100
2023-05-28,60
2023-05-21,41
2023-05-14,37
2023-05-07,27
2023-04-30,27
2023-04-23,31
2023-04-16,23
2023-04-09,29
2023-04-02,34
2023-03-26,41
2023-03-19,35
2023-03-12,44
2023-03-05,46
2023-02-26,50
2023-02-19,50
2023-02-12,50
2023-02-05,60
2023-01-29,43
2023-01-22,38
2023-01-15,33
2023-01-08,25
2023-01-01,50
2022-12-25,27
2022-12-18,31
2022-12-11,28
2022-12-04,28
2022-11-27,27
2022-11-20,28
2022-11-13,25
