Semaine,Value
2023-11-05,37
2023-10-29,43
2023-10-22,93
2023-10-15,59
2023-10-08,17
2023-10-01,17
2023-09-24,11
2023-09-17,13
2023-09-10,13
2023-09-03,15
2023-08-27,18
2023-08-20,18
2023-08-13,19
2023-08-06,18
2023-07-30,18
2023-07-23,20
2023-07-16,24
2023-07-09,20
2023-07-02,19
2023-06-25,17
2023-06-18,16
2023-06-11,16
2023-06-04,17
2023-05-28,17
2023-05-21,19
2023-05-14,20
2023-05-07,19
2023-04-30,26
2023-04-23,21
2023-04-16,18
2023-04-09,18
2023-04-02,20
2023-03-26,20
2023-03-19,28
2023-03-12,58
2023-03-05,34
2023-02-26,33
2023-02-19,58
2023-02-12,27
2023-02-05,27
2023-01-29,22
2023-01-22,100
2023-01-15,21
2023-01-08,21
2023-01-01,44
2022-12-25,24
2022-12-18,21
2022-12-11,22
2022-12-04,19
2022-11-27,17
2022-11-20,19
2022-11-13,18
