Semaine,Value
2023-10-29,0
2023-10-22,0
2023-10-15,0
2023-10-08,41
2023-10-01,0
2023-09-24,58
2023-09-17,0
2023-09-10,59
2023-09-03,100
2023-08-27,95
2023-08-20,31
2023-08-13,0
2023-08-06,0
2023-07-30,50
2023-07-23,0
2023-07-16,0
2023-07-09,0
2023-07-02,0
2023-06-25,35
2023-06-18,47
2023-06-11,0
2023-06-04,63
2023-05-28,0
2023-05-21,0
2023-05-14,0
2023-05-07,0
2023-04-30,36
2023-04-23,0
2023-04-16,0
2023-04-09,65
2023-04-02,58
2023-03-26,36
2023-03-19,26
2023-03-12,36
2023-03-05,0
2023-02-26,0
2023-02-19,32
2023-02-12,0
2023-02-05,58
2023-01-29,0
2023-01-22,27
2023-01-15,0
2023-01-08,0
2023-01-01,0
2022-12-25,51
2022-12-18,34
2022-12-11,0
2022-12-04,0
2022-11-27,0
2022-11-20,55
2022-11-13,41
