Semaine,Value
2023-11-05,53
2023-10-29,60
2023-10-22,38
2023-10-15,60
2023-10-08,55
2023-10-01,44
2023-09-24,30
2023-09-17,37
2023-09-10,37
2023-09-03,43
2023-08-27,42
2023-08-20,41
2023-08-13,49
2023-08-06,49
2023-07-30,43
2023-07-23,56
2023-07-16,60
2023-07-09,50
2023-07-02,50
2023-06-25,58
2023-06-18,48
2023-06-11,53
2023-06-04,52
2023-05-28,48
2023-05-21,48
2023-05-14,42
2023-05-07,42
2023-04-30,45
2023-04-23,43
2023-04-16,46
2023-04-09,48
2023-04-02,44
2023-03-26,45
2023-03-19,43
2023-03-12,48
2023-03-05,50
2023-02-26,53
2023-02-19,100
2023-02-12,49
2023-02-05,70
2023-01-29,66
2023-01-22,60
2023-01-15,58
2023-01-08,54
2023-01-01,69
2022-12-25,61
2022-12-18,75
2022-12-11,47
2022-12-04,46
2022-11-27,42
2022-11-20,54
2022-11-13,48
