Semaine,Value
2023-10-29,0
2023-10-22,26
2023-10-15,44
2023-10-08,55
2023-10-01,26
2023-09-24,85
2023-09-17,63
2023-09-10,30
2023-09-03,42
2023-08-27,23
2023-08-20,24
2023-08-13,59
2023-08-06,55
2023-07-30,28
2023-07-23,44
2023-07-16,32
2023-07-09,19
2023-07-02,43
2023-06-25,65
2023-06-18,43
2023-06-11,45
2023-06-04,64
2023-05-28,63
2023-05-21,27
2023-05-14,34
2023-05-07,48
2023-04-30,61
2023-04-23,45
2023-04-16,49
2023-04-09,38
2023-04-02,60
2023-03-26,50
2023-03-19,68
2023-03-12,54
2023-03-05,37
2023-02-26,39
2023-02-19,92
2023-02-12,100
2023-02-05,72
2023-01-29,77
2023-01-22,66
2023-01-15,25
2023-01-08,23
2023-01-01,38
2022-12-25,33
2022-12-18,15
2022-12-11,0
2022-12-04,50
2022-11-27,20
2022-11-20,20
2022-11-13,51
2022-11-06,72
