Semaine,Value
2023-10-29,100
2023-10-22,20
2023-10-15,0
2023-10-08,14
2023-10-01,9
2023-09-24,29
2023-09-17,14
2023-09-10,12
2023-09-03,22
2023-08-27,0
2023-08-20,17
2023-08-13,22
2023-08-06,14
2023-07-30,0
2023-07-23,38
2023-07-16,27
2023-07-09,29
2023-07-02,11
2023-06-25,17
2023-06-18,0
2023-06-11,9
2023-06-04,18
2023-05-28,24
2023-05-21,29
2023-05-14,13
2023-05-07,38
2023-04-30,16
2023-04-23,17
2023-04-16,0
2023-04-09,0
2023-04-02,11
2023-03-26,21
2023-03-19,0
2023-03-12,27
2023-03-05,11
2023-02-26,0
2023-02-19,15
2023-02-12,0
2023-02-05,22
2023-01-29,0
2023-01-22,20
2023-01-15,19
2023-01-08,31
2023-01-01,34
2022-12-25,0
2022-12-18,27
2022-12-11,25
2022-12-04,0
2022-11-27,21
2022-11-20,10
2022-11-13,12
2022-11-06,12
