Semaine,Value
2023-11-05,48
2023-10-29,50
2023-10-22,47
2023-10-15,46
2023-10-08,44
2023-10-01,42
2023-09-24,42
2023-09-17,44
2023-09-10,44
2023-09-03,50
2023-08-27,49
2023-08-20,45
2023-08-13,52
2023-08-06,45
2023-07-30,46
2023-07-23,52
2023-07-16,48
2023-07-09,44
2023-07-02,47
2023-06-25,49
2023-06-18,48
2023-06-11,52
2023-06-04,65
2023-05-28,59
2023-05-21,52
2023-05-14,59
2023-05-07,84
2023-04-30,91
2023-04-23,46
2023-04-16,48
2023-04-09,52
2023-04-02,49
2023-03-26,51
2023-03-19,53
2023-03-12,53
2023-03-05,51
2023-02-26,53
2023-02-19,55
2023-02-12,57
2023-02-05,50
2023-01-29,54
2023-01-22,57
2023-01-15,68
2023-01-08,100
2023-01-01,70
2022-12-25,55
2022-12-18,65
2022-12-11,69
2022-12-04,68
2022-11-27,59
2022-11-20,57
2022-11-13,62
