Semaine,Value
2023-11-05,8
2023-10-29,6
2023-10-22,7
2023-10-15,8
2023-10-08,8
2023-10-01,8
2023-09-24,9
2023-09-17,12
2023-09-10,25
2023-09-03,31
2023-08-27,22
2023-08-20,13
2023-08-13,14
2023-08-06,10
2023-07-30,10
2023-07-23,13
2023-07-16,42
2023-07-09,23
2023-07-02,24
2023-06-25,18
2023-06-18,12
2023-06-11,26
2023-06-04,22
2023-05-28,23
2023-05-21,16
2023-05-14,41
2023-05-07,19
2023-04-30,17
2023-04-23,14
2023-04-16,17
2023-04-09,16
2023-04-02,13
2023-03-26,16
2023-03-19,14
2023-03-12,15
2023-03-05,15
2023-02-26,16
2023-02-19,15
2023-02-12,10
2023-02-05,14
2023-01-29,25
2023-01-22,25
2023-01-15,100
2023-01-08,18
2023-01-01,15
2022-12-25,14
2022-12-18,9
2022-12-11,9
2022-12-04,11
2022-11-27,11
2022-11-20,10
2022-11-13,42
