Semaine,Value
2023-10-29,25
2023-10-22,31
2023-10-15,22
2023-10-08,21
2023-10-01,28
2023-09-24,30
2023-09-17,41
2023-09-10,22
2023-09-03,26
2023-08-27,19
2023-08-20,19
2023-08-13,19
2023-08-06,21
2023-07-30,21
2023-07-23,25
2023-07-16,23
2023-07-09,22
2023-07-02,23
2023-06-25,18
2023-06-18,23
2023-06-11,25
2023-06-04,22
2023-05-28,22
2023-05-21,27
2023-05-14,27
2023-05-07,23
2023-04-30,26
2023-04-23,26
2023-04-16,26
2023-04-09,28
2023-04-02,35
2023-03-26,26
2023-03-19,27
2023-03-12,32
2023-03-05,28
2023-02-26,29
2023-02-19,38
2023-02-12,41
2023-02-05,37
2023-01-29,48
2023-01-22,60
2023-01-15,69
2023-01-08,100
2023-01-01,89
2022-12-25,43
2022-12-18,36
2022-12-11,30
2022-12-04,34
2022-11-27,43
2022-11-20,62
2022-11-13,66
2022-11-06,28
