Semaine,Value
2023-11-05,43
2023-10-29,43
2023-10-22,42
2023-10-15,39
2023-10-08,39
2023-10-01,49
2023-09-24,77
2023-09-17,58
2023-09-10,39
2023-09-03,36
2023-08-27,40
2023-08-20,39
2023-08-13,40
2023-08-06,52
2023-07-30,44
2023-07-23,42
2023-07-16,43
2023-07-09,41
2023-07-02,43
2023-06-25,40
2023-06-18,51
2023-06-11,37
2023-06-04,43
2023-05-28,42
2023-05-21,71
2023-05-14,100
2023-05-07,71
2023-04-30,44
2023-04-23,45
2023-04-16,47
2023-04-09,79
2023-04-02,90
2023-03-26,67
2023-03-19,52
2023-03-12,44
2023-03-05,45
2023-02-26,43
2023-02-19,50
2023-02-12,55
2023-02-05,95
2023-01-29,52
2023-01-22,46
2023-01-15,45
2023-01-08,48
2023-01-01,44
2022-12-25,48
2022-12-18,46
2022-12-11,50
2022-12-04,82
2022-11-27,41
2022-11-20,42
