Semaine,Value
2023-11-05,26
2023-10-29,25
2023-10-22,33
2023-10-15,34
2023-10-08,36
2023-10-01,37
2023-09-24,40
2023-09-17,52
2023-09-10,55
2023-09-03,68
2023-08-27,60
2023-08-20,69
2023-08-13,82
2023-08-06,94
2023-07-30,85
2023-07-23,98
2023-07-16,100
2023-07-09,83
2023-07-02,81
2023-06-25,65
2023-06-18,41
2023-06-11,11
2023-06-04,10
2023-05-28,10
2023-05-21,11
2023-05-14,10
2023-05-07,10
2023-04-30,7
2023-04-23,11
2023-04-16,12
2023-04-09,9
2023-04-02,7
2023-03-26,6
2023-03-19,8
2023-03-12,8
2023-03-05,8
2023-02-26,6
2023-02-19,4
2023-02-12,6
2023-02-05,7
2023-01-29,7
2023-01-22,7
2023-01-15,10
2023-01-08,9
2023-01-01,13
2022-12-25,11
2022-12-18,11
2022-12-11,9
2022-12-04,6
2022-11-27,5
2022-11-20,6
2022-11-13,7
