Semaine,Value
2023-11-05,32
2023-10-29,34
2023-10-22,31
2023-10-15,28
2023-10-08,32
2023-10-01,31
2023-09-24,33
2023-09-17,30
2023-09-10,32
2023-09-03,33
2023-08-27,37
2023-08-20,44
2023-08-13,43
2023-08-06,47
2023-07-30,39
2023-07-23,42
2023-07-16,40
2023-07-09,38
2023-07-02,67
2023-06-25,30
2023-06-18,35
2023-06-11,33
2023-06-04,37
2023-05-28,35
2023-05-21,36
2023-05-14,43
2023-05-07,35
2023-04-30,41
2023-04-23,72
2023-04-16,40
2023-04-09,49
2023-04-02,50
2023-03-26,35
2023-03-19,39
2023-03-12,64
2023-03-05,82
2023-02-26,89
2023-02-19,73
2023-02-12,100
2023-02-05,49
2023-01-29,42
2023-01-22,44
2023-01-15,54
2023-01-08,61
2023-01-01,43
2022-12-25,55
2022-12-18,73
2022-12-11,83
2022-12-04,68
2022-11-27,53
2022-11-20,61
2022-11-13,49
