Semaine,Value
2023-10-29,18
2023-10-22,22
2023-10-15,21
2023-10-08,16
2023-10-01,30
2023-09-24,31
2023-09-17,22
2023-09-10,27
2023-09-03,32
2023-08-27,39
2023-08-20,41
2023-08-13,29
2023-08-06,28
2023-07-30,32
2023-07-23,64
2023-07-16,29
2023-07-09,28
2023-07-02,40
2023-06-25,27
2023-06-18,23
2023-06-11,39
2023-06-04,32
2023-05-28,25
2023-05-21,31
2023-05-14,24
2023-05-07,41
2023-04-30,26
2023-04-23,25
2023-04-16,35
2023-04-09,29
2023-04-02,33
2023-03-26,47
2023-03-19,57
2023-03-12,71
2023-03-05,55
2023-02-26,34
2023-02-19,42
2023-02-12,34
2023-02-05,42
2023-01-29,35
2023-01-22,55
2023-01-15,52
2023-01-08,79
2023-01-01,68
2022-12-25,100
2022-12-18,78
2022-12-11,77
2022-12-04,58
2022-11-27,28
2022-11-20,36
2022-11-13,29
