Semaine,Value
2023-10-29,94
2023-10-22,72
2023-10-15,76
2023-10-08,68
2023-10-01,59
2023-09-24,70
2023-09-17,76
2023-09-10,72
2023-09-03,76
2023-08-27,60
2023-08-20,69
2023-08-13,74
2023-08-06,80
2023-07-30,65
2023-07-23,76
2023-07-16,79
2023-07-09,83
2023-07-02,83
2023-06-25,92
2023-06-18,100
2023-06-11,89
2023-06-04,70
2023-05-28,68
2023-05-21,76
2023-05-14,66
2023-05-07,69
2023-04-30,62
2023-04-23,84
2023-04-16,87
2023-04-09,74
2023-04-02,88
2023-03-26,69
2023-03-19,65
2023-03-12,94
2023-03-05,64
2023-02-26,70
2023-02-19,64
2023-02-12,66
2023-02-05,73
2023-01-29,72
2023-01-22,69
2023-01-15,70
2023-01-08,75
2023-01-01,80
2022-12-25,86
2022-12-18,78
2022-12-11,100
2022-12-04,67
2022-11-27,68
2022-11-20,95
2022-11-13,76
2022-11-06,71
