Semaine,Value
2023-11-05,14
2023-10-29,27
2023-10-22,14
2023-10-15,19
2023-10-08,28
2023-10-01,27
2023-09-24,19
2023-09-17,17
2023-09-10,100
2023-09-03,18
2023-08-27,4
2023-08-20,14
2023-08-13,7
2023-08-06,9
2023-07-30,10
2023-07-23,10
2023-07-16,21
2023-07-09,6
2023-07-02,13
2023-06-25,14
2023-06-18,20
2023-06-11,16
2023-06-04,18
2023-05-28,19
2023-05-21,16
2023-05-14,16
2023-05-07,10
2023-04-30,26
2023-04-23,13
2023-04-16,15
2023-04-09,5
2023-04-02,15
2023-03-26,18
2023-03-19,10
2023-03-12,7
2023-03-05,15
2023-02-26,18
2023-02-19,16
2023-02-12,16
2023-02-05,17
2023-01-29,13
2023-01-22,9
2023-01-15,10
2023-01-08,14
2023-01-01,26
2022-12-25,49
2022-12-18,43
2022-12-11,59
2022-12-04,19
2022-11-27,5
2022-11-20,15
2022-11-13,11
