Semaine,Value
2023-11-05,9
2023-10-29,16
2023-10-22,22
2023-10-15,20
2023-10-08,23
2023-10-01,22
2023-09-24,23
2023-09-17,16
2023-09-10,15
2023-09-03,16
2023-08-27,20
2023-08-20,24
2023-08-13,29
2023-08-06,23
2023-07-30,23
2023-07-23,24
2023-07-16,28
2023-07-09,29
2023-07-02,32
2023-06-25,38
2023-06-18,50
2023-06-11,100
2023-06-04,52
2023-05-28,67
2023-05-21,38
2023-05-14,17
2023-05-07,11
2023-04-30,27
2023-04-23,20
2023-04-16,13
2023-04-09,15
2023-04-02,13
2023-03-26,19
2023-03-19,14
2023-03-12,9
2023-03-05,8
2023-02-26,9
2023-02-19,10
2023-02-12,9
2023-02-05,11
2023-01-29,11
2023-01-22,10
2023-01-15,12
2023-01-08,17
2023-01-01,15
2022-12-25,20
2022-12-18,30
2022-12-11,21
2022-12-04,9
2022-11-27,7
2022-11-20,9
2022-11-13,8
