Semaine,Value
2023-11-05,32
2023-10-29,33
2023-10-22,30
2023-10-15,28
2023-10-08,27
2023-10-01,26
2023-09-24,32
2023-09-17,33
2023-09-10,29
2023-09-03,29
2023-08-27,27
2023-08-20,28
2023-08-13,27
2023-08-06,26
2023-07-30,30
2023-07-23,34
2023-07-16,30
2023-07-09,36
2023-07-02,37
2023-06-25,37
2023-06-18,32
2023-06-11,34
2023-06-04,38
2023-05-28,52
2023-05-21,61
2023-05-14,99
2023-05-07,27
2023-04-30,29
2023-04-23,30
2023-04-16,32
2023-04-09,30
2023-04-02,28
2023-03-26,39
2023-03-19,36
2023-03-12,46
2023-03-05,45
2023-02-26,100
2023-02-19,38
2023-02-12,31
2023-02-05,37
2023-01-29,38
2023-01-22,37
2023-01-15,34
2023-01-08,38
2023-01-01,44
2022-12-25,49
2022-12-18,50
2022-12-11,50
2022-12-04,43
2022-11-27,42
2022-11-20,51
2022-11-13,55
