Semaine,Value
2023-11-05,100
2023-10-29,20
2023-10-22,46
2023-10-15,32
2023-10-08,40
2023-10-01,75
2023-09-24,60
2023-09-17,38
2023-09-10,49
2023-09-03,0
2023-08-27,20
2023-08-20,53
2023-08-13,23
2023-08-06,30
2023-07-30,40
2023-07-23,0
2023-07-16,47
2023-07-09,19
2023-07-02,40
2023-06-25,49
2023-06-18,49
2023-06-11,57
2023-06-04,75
2023-05-28,39
2023-05-21,55
2023-05-14,31
2023-05-07,40
2023-04-30,40
2023-04-23,96
2023-04-16,55
2023-04-09,45
2023-04-02,36
2023-03-26,0
2023-03-19,0
2023-03-12,0
2023-03-05,35
2023-02-26,0
2023-02-19,17
2023-02-12,41
2023-02-05,56
2023-01-29,38
2023-01-22,46
2023-01-15,79
2023-01-08,64
2023-01-01,54
2022-12-25,35
2022-12-18,34
2022-12-11,83
2022-12-04,53
2022-11-27,23
2022-11-20,0
2022-11-13,39
