Semaine,Value
2023-11-05,82
2023-10-29,49
2023-10-22,35
2023-10-15,41
2023-10-08,55
2023-10-01,43
2023-09-24,54
2023-09-17,52
2023-09-10,48
2023-09-03,50
2023-08-27,54
2023-08-20,37
2023-08-13,44
2023-08-06,53
2023-07-30,50
2023-07-23,74
2023-07-16,87
2023-07-09,59
2023-07-02,57
2023-06-25,100
2023-06-18,55
2023-06-11,45
2023-06-04,50
2023-05-28,45
2023-05-21,39
2023-05-14,53
2023-05-07,33
2023-04-30,52
2023-04-23,60
2023-04-16,52
2023-04-09,45
2023-04-02,53
2023-03-26,62
2023-03-19,50
2023-03-12,56
2023-03-05,46
2023-02-26,77
2023-02-19,51
2023-02-12,27
2023-02-05,58
2023-01-29,55
2023-01-22,50
2023-01-15,57
2023-01-08,61
2023-01-01,50
2022-12-25,57
2022-12-18,45
2022-12-11,56
2022-12-04,62
2022-11-27,38
2022-11-20,33
2022-11-13,53
