Semaine,Value
2023-10-29,0
2023-10-22,0
2023-10-15,38
2023-10-08,0
2023-10-01,24
2023-09-24,32
2023-09-17,36
2023-09-10,28
2023-09-03,44
2023-08-27,26
2023-08-20,30
2023-08-13,54
2023-08-06,46
2023-07-30,0
2023-07-23,0
2023-07-16,0
2023-07-09,0
2023-07-02,0
2023-06-25,49
2023-06-18,48
2023-06-11,100
2023-06-04,0
2023-05-28,0
2023-05-21,72
2023-05-14,79
2023-05-07,20
2023-04-30,0
2023-04-23,31
2023-04-16,34
2023-04-09,0
2023-04-02,0
2023-03-26,0
2023-03-19,47
2023-03-12,36
2023-03-05,0
2023-02-26,27
2023-02-19,0
2023-02-12,0
2023-02-05,45
2023-01-29,0
2023-01-22,0
2023-01-15,25
2023-01-08,51
2023-01-01,0
2022-12-25,0
2022-12-18,0
2022-12-11,36
2022-12-04,0
2022-11-27,0
2022-11-20,73
2022-11-13,50
2022-11-06,77
