Semaine,Value
2023-10-29,4
2023-10-22,0
2023-10-15,5
2023-10-08,5
2023-10-01,7
2023-09-24,4
2023-09-17,8
2023-09-10,5
2023-09-03,7
2023-08-27,9
2023-08-20,10
2023-08-13,9
2023-08-06,7
2023-07-30,13
2023-07-23,6
2023-07-16,6
2023-07-09,6
2023-07-02,6
2023-06-25,9
2023-06-18,10
2023-06-11,13
2023-06-04,17
2023-05-28,16
2023-05-21,12
2023-05-14,9
2023-05-07,22
2023-04-30,26
2023-04-23,35
2023-04-16,74
2023-04-09,100
2023-04-02,37
2023-03-26,60
2023-03-19,39
2023-03-12,28
2023-03-05,4
2023-02-26,8
2023-02-19,6
2023-02-12,9
2023-02-05,16
2023-01-29,21
2023-01-22,5
2023-01-15,3
2023-01-08,9
2023-01-01,3
2022-12-25,6
2022-12-18,5
2022-12-11,19
2022-12-04,14
2022-11-27,19
2022-11-20,16
2022-11-13,43
