Semaine,Value
2023-10-29,100
2023-10-22,52
2023-10-15,23
2023-10-08,33
2023-10-01,0
2023-09-24,41
2023-09-17,41
2023-09-10,73
2023-09-03,48
2023-08-27,52
2023-08-20,0
2023-08-13,18
2023-08-06,20
2023-07-30,36
2023-07-23,23
2023-07-16,26
2023-07-09,27
2023-07-02,34
2023-06-25,61
2023-06-18,61
2023-06-11,45
2023-06-04,59
2023-05-28,0
2023-05-21,54
2023-05-14,29
2023-05-07,43
2023-04-30,0
2023-04-23,35
2023-04-16,89
2023-04-09,29
2023-04-02,39
2023-03-26,19
2023-03-19,84
2023-03-12,32
2023-03-05,18
2023-02-26,0
2023-02-19,22
2023-02-12,46
2023-02-05,35
2023-01-29,31
2023-01-22,36
2023-01-15,68
2023-01-08,31
2023-01-01,0
2022-12-25,31
2022-12-18,62
2022-12-11,22
2022-12-04,33
2022-11-27,32
2022-11-20,66
2022-11-13,30
2022-11-06,16
