Semaine,Value
2023-10-29,100
2023-10-22,35
2023-10-15,36
2023-10-08,36
2023-10-01,44
2023-09-24,17
2023-09-17,23
2023-09-10,24
2023-09-03,24
2023-08-27,35
2023-08-20,8
2023-08-13,23
2023-08-06,25
2023-07-30,49
2023-07-23,36
2023-07-16,39
2023-07-09,25
2023-07-02,37
2023-06-25,31
2023-06-18,34
2023-06-11,33
2023-06-04,19
2023-05-28,27
2023-05-21,41
2023-05-14,30
2023-05-07,30
2023-04-30,28
2023-04-23,42
2023-04-16,30
2023-04-09,30
2023-04-02,37
2023-03-26,45
2023-03-19,33
2023-03-12,28
2023-03-05,24
2023-02-26,36
2023-02-19,28
2023-02-12,11
2023-02-05,10
2023-01-29,18
2023-01-22,24
2023-01-15,29
2023-01-08,28
2023-01-01,25
2022-12-25,25
2022-12-18,31
2022-12-11,36
2022-12-04,25
2022-11-27,43
2022-11-20,40
2022-11-13,0
2022-11-06,22
