Semaine,Value
2023-11-05,34
2023-10-29,34
2023-10-22,40
2023-10-15,48
2023-10-08,41
2023-10-01,44
2023-09-24,52
2023-09-17,64
2023-09-10,41
2023-09-03,42
2023-08-27,44
2023-08-20,76
2023-08-13,65
2023-08-06,64
2023-07-30,100
2023-07-23,74
2023-07-16,68
2023-07-09,47
2023-07-02,58
2023-06-25,53
2023-06-18,55
2023-06-11,49
2023-06-04,45
2023-05-28,51
2023-05-21,43
2023-05-14,44
2023-05-07,40
2023-04-30,44
2023-04-23,40
2023-04-16,37
2023-04-09,39
2023-04-02,42
2023-03-26,39
2023-03-19,47
2023-03-12,45
2023-03-05,43
2023-02-26,43
2023-02-19,40
2023-02-12,41
2023-02-05,44
2023-01-29,38
2023-01-22,42
2023-01-15,49
2023-01-08,43
2023-01-01,51
2022-12-25,58
2022-12-18,50
2022-12-11,40
2022-12-04,39
2022-11-27,40
2022-11-20,46
2022-11-13,40
