Semaine,Value
2023-11-05,34
2023-10-29,42
2023-10-22,34
2023-10-15,42
2023-10-08,43
2023-10-01,30
2023-09-24,21
2023-09-17,24
2023-09-10,29
2023-09-03,33
2023-08-27,29
2023-08-20,35
2023-08-13,37
2023-08-06,40
2023-07-30,48
2023-07-23,61
2023-07-16,85
2023-07-09,100
2023-07-02,73
2023-06-25,70
2023-06-18,49
2023-06-11,37
2023-06-04,54
2023-05-28,62
2023-05-21,37
2023-05-14,45
2023-05-07,56
2023-04-30,37
2023-04-23,42
2023-04-16,34
2023-04-09,37
2023-04-02,42
2023-03-26,53
2023-03-19,69
2023-03-12,66
2023-03-05,43
2023-02-26,45
2023-02-19,49
2023-02-12,44
2023-02-05,41
2023-01-29,41
2023-01-22,52
2023-01-15,51
2023-01-08,56
2023-01-01,61
2022-12-25,96
2022-12-18,73
2022-12-11,46
2022-12-04,35
2022-11-27,34
2022-11-20,48
2022-11-13,37
