Semaine,Value
2023-10-22,7
2023-10-15,12
2023-10-08,10
2023-10-01,11
2023-09-24,13
2023-09-17,6
2023-09-10,8
2023-09-03,5
2023-08-27,11
2023-08-20,10
2023-08-13,10
2023-08-06,10
2023-07-30,7
2023-07-23,13
2023-07-16,8
2023-07-09,15
2023-07-02,11
2023-06-25,7
2023-06-18,9
2023-06-11,8
2023-06-04,7
2023-05-28,6
2023-05-21,9
2023-05-14,6
2023-05-07,6
2023-04-30,6
2023-04-23,5
2023-04-16,5
2023-04-09,8
2023-04-02,7
2023-03-26,10
2023-03-19,10
2023-03-12,15
2023-03-05,9
2023-02-26,13
2023-02-19,16
2023-02-12,15
2023-02-05,19
2023-01-29,19
2023-01-22,24
2023-01-15,27
2023-01-08,27
2023-01-01,33
2022-12-25,38
2022-12-18,46
2022-12-11,100
2022-12-04,57
2022-11-27,80
2022-11-20,49
2022-11-13,35
2022-11-06,20
