Semaine,Value
2023-11-05,54
2023-10-29,64
2023-10-22,100
2023-10-15,59
2023-10-08,45
2023-10-01,28
2023-09-24,21
2023-09-17,33
2023-09-10,37
2023-09-03,25
2023-08-27,21
2023-08-20,20
2023-08-13,29
2023-08-06,41
2023-07-30,27
2023-07-23,47
2023-07-16,72
2023-07-09,40
2023-07-02,26
2023-06-25,21
2023-06-18,23
2023-06-11,89
2023-06-04,31
2023-05-28,22
2023-05-21,31
2023-05-14,18
2023-05-07,21
2023-04-30,32
2023-04-23,21
2023-04-16,30
2023-04-09,19
2023-04-02,20
2023-03-26,30
2023-03-19,54
2023-03-12,19
2023-03-05,16
2023-02-26,25
2023-02-19,22
2023-02-12,17
2023-02-05,24
2023-01-29,16
2023-01-22,27
2023-01-15,22
2023-01-08,19
2023-01-01,26
2022-12-25,22
2022-12-18,16
2022-12-11,19
2022-12-04,25
2022-11-27,20
2022-11-20,24
2022-11-13,22
