Semaine,Value
2023-10-29,3
2023-10-22,4
2023-10-15,4
2023-10-08,4
2023-10-01,7
2023-09-24,8
2023-09-17,11
2023-09-10,100
2023-09-03,56
2023-08-27,4
2023-08-20,3
2023-08-13,4
2023-08-06,3
2023-07-30,4
2023-07-23,6
2023-07-16,4
2023-07-09,4
2023-07-02,6
2023-06-25,6
2023-06-18,4
2023-06-11,4
2023-06-04,4
2023-05-28,6
2023-05-21,4
2023-05-14,4
2023-05-07,5
2023-04-30,3
2023-04-23,6
2023-04-16,6
2023-04-09,4
2023-04-02,4
2023-03-26,4
2023-03-19,4
2023-03-12,5
2023-03-05,4
2023-02-26,5
2023-02-19,7
2023-02-12,10
2023-02-05,11
2023-01-29,16
2023-01-22,33
2023-01-15,25
2023-01-08,10
2023-01-01,8
2022-12-25,8
2022-12-18,9
2022-12-11,4
2022-12-04,5
2022-11-27,5
2022-11-20,4
2022-11-13,4
2022-11-06,4
