Semaine,Value
2023-11-05,12
2023-10-29,7
2023-10-22,28
2023-10-15,29
2023-10-08,28
2023-10-01,20
2023-09-24,29
2023-09-17,32
2023-09-10,23
2023-09-03,19
2023-08-27,9
2023-08-20,8
2023-08-13,17
2023-08-06,7
2023-07-30,16
2023-07-23,14
2023-07-16,11
2023-07-09,22
2023-07-02,100
2023-06-25,12
2023-06-18,13
2023-06-11,9
2023-06-04,3
2023-05-28,23
2023-05-21,19
2023-05-14,24
2023-05-07,16
2023-04-30,14
2023-04-23,21
2023-04-16,17
2023-04-09,23
2023-04-02,25
2023-03-26,23
2023-03-19,29
2023-03-12,33
2023-03-05,35
2023-02-26,43
2023-02-19,52
2023-02-12,63
2023-02-05,92
2023-01-29,72
2023-01-22,50
2023-01-15,62
2023-01-08,51
2023-01-01,31
2022-12-25,15
2022-12-18,14
2022-12-11,11
2022-12-04,8
2022-11-27,11
2022-11-20,23
2022-11-13,29
