Semaine,Value
2023-11-05,16
2023-10-29,13
2023-10-22,17
2023-10-15,17
2023-10-08,18
2023-10-01,18
2023-09-24,9
2023-09-17,12
2023-09-10,12
2023-09-03,17
2023-08-27,15
2023-08-20,14
2023-08-13,18
2023-08-06,18
2023-07-30,28
2023-07-23,31
2023-07-16,21
2023-07-09,19
2023-07-02,23
2023-06-25,14
2023-06-18,24
2023-06-11,18
2023-06-04,13
2023-05-28,10
2023-05-21,13
2023-05-14,18
2023-05-07,11
2023-04-30,13
2023-04-23,12
2023-04-16,11
2023-04-09,18
2023-04-02,14
2023-03-26,14
2023-03-19,22
2023-03-12,20
2023-03-05,13
2023-02-26,19
2023-02-19,16
2023-02-12,8
2023-02-05,15
2023-01-29,12
2023-01-22,15
2023-01-15,15
2023-01-08,9
2023-01-01,18
2022-12-25,23
2022-12-18,18
2022-12-11,27
2022-12-04,11
2022-11-27,8
2022-11-20,16
2022-11-13,100
