Semaine,Value
2023-10-29,0
2023-10-22,17
2023-10-15,15
2023-10-08,0
2023-10-01,0
2023-09-24,0
2023-09-17,0
2023-09-10,0
2023-09-03,0
2023-08-27,22
2023-08-20,19
2023-08-13,13
2023-08-06,24
2023-07-30,0
2023-07-23,0
2023-07-16,16
2023-07-09,15
2023-07-02,22
2023-06-25,10
2023-06-18,0
2023-06-11,15
2023-06-04,0
2023-05-28,0
2023-05-21,0
2023-05-14,0
2023-05-07,17
2023-04-30,0
2023-04-23,0
2023-04-16,0
2023-04-09,0
2023-04-02,14
2023-03-26,0
2023-03-19,14
2023-03-12,29
2023-03-05,49
2023-02-26,13
2023-02-19,100
2023-02-12,14
2023-02-05,18
2023-01-29,77
2023-01-22,24
2023-01-15,10
2023-01-08,0
2023-01-01,0
2022-12-25,39
2022-12-18,15
2022-12-11,42
2022-12-04,0
2022-11-27,0
2022-11-20,12
2022-11-13,0
2022-11-06,12
